Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	KEGG Pathways	Chromosome	Reactome Pathways	WikiPathways	# Protein Pathway Groups	abundance.Glc_1	abundance.Glc_2	abundance.Glc_3	abundance.Ac_1	abundance.Ac_2	abundance.Ac_3	abundance.LB_1	abundance.LB_2	abundance.LB_3	Found in Sample: [S25] F25: Sample	Found in Sample: [S26] F26: Sample	Found in Sample: [S27] F27: Sample	Found in Sample: [S37] F37: Sample	Found in Sample: [S38] F38: Sample	Found in Sample: [S39] F39: Sample	Found in Sample: [S74] F74: Sample	Found in Sample: [S75] F75: Sample	Found in Sample: [S76] F76: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	Q88N55	60 kDa chaperonin OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=groL PE=3 SV=1	0	1846.503	98	81	23588	81	546	56.7	5.06	45110.24	81	metabolic process	cytoplasm	nucleotide binding	Pf00118	1042522	PP_1361	"groEL; groL"	RNA degradation				1	12050798201	12147795237	11913940591	10153363171	9727013264	12583478023	11982973977	10598371302	15029153316	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DU2	Chaperone protein DnaK OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=dnaK PE=3 SV=1	0	1769.979	87	100	16347	100	641	68.8	4.96	33211.42	100	"cell organization and biogenesis;metabolic process"		"catalytic activity;nucleotide binding;protein binding"	Pf00012, Pf02782, Pf06723	1046079	PP_4727	dnaK	RNA degradation				1	3702610083	5057433564	4547752520	3803009322	2988092012	4091997730	4745973541	4455163208	6144173944	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	P14611	Acetyl-CoA acetyltransferase OS=Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) OX=381666 GN=phaA PE=1 SV=1	0	1625.005	99	57	25805	56	393	40.5	7.87	47002.84	57	metabolic process	cytoplasm	catalytic activity	Pf00108, Pf00109, Pf02803		H16_A1438	"phaA; H16_RS07140"	"Biosynthesis of secondary metabolites; Glyoxylate and dicarboxylate metabolism; Benzoate degradation; Fatty acid degradation; Metabolic pathways; Propanoate metabolism; Synthesis and degradation of ketone bodies; Two-component system; Valine, leucine and isoleucine degradation; Carbon metabolism; Lysine degradation; Biosynthesis of antibiotics; Tryptophan metabolism; Fatty acid metabolism; Microbial metabolism in diverse environments; Pyruvate metabolism; Terpenoid backbone biosynthesis; Butanoate metabolism"	1			18	496921556.9	507246923.3	600958626.6	504393823.5	479548280	773563414.4	596346147.5	762401225.1	730339805.6	High	High	High	High	High	High	High	High	Peak Found	1	"Met-loss [N-Term]; Met-loss+Acetyl [N-Term]"
FALSE	High	Master Protein	Q88FB9	Chaperone protein HtpG OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=htpG PE=3 SV=1	0	1475.547	94	94	9247	94	634	71.6	5.35	19119.82	94	"metabolic process;response to stimulus"	cytoplasm	"nucleotide binding;protein binding"	Pf00183, Pf02518, Pf13589	1042393	PP_4179	htpG					0	1833335624	1926838235	1703133521	1533354804	2070259169	2671625013	2410340432	2464039986	3028361874	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88QN8	Elongation factor G 1 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=fusA PE=3 SV=1	0	1396.719	96	99	9162	91	715	78.8	5.24	16694.37	99	metabolic process	cytoplasm	"catalytic activity;nucleotide binding;RNA binding"	Pf00009, Pf00679, Pf01926, Pf03144, Pf03764, Pf14492	1044195	PP_0451	fusA					0	2427400497	3726009122	4211380357	2440754710	1401976758	2022712324	3057599870	3134116126	3659624894	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QP2	DNA-directed RNA polymerase subunit beta OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rpoB PE=3 SV=1	0	1375.056	73	128	6664	128	1357	150.9	5.8	12811.06	128	metabolic process		"catalytic activity;DNA binding"	Pf00562, Pf04560, Pf04561, Pf04563, Pf04565, Pf10385	1044190	PP_0447	rpoB	"Pyrimidine metabolism; RNA polymerase; Purine metabolism; Metabolic pathways"				4	903514446.9	1448146958	1483600612	765954967.5	662985480	746252362.3	1289130470	1489350430	1465680114	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QP1	DNA-directed RNA polymerase subunit beta' OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rpoC PE=3 SV=1	0	1295.524	69	122	6100	122	1399	154.7	7.21	11368.7	122	metabolic process		"catalytic activity;DNA binding"	Pf00623, Pf04983, Pf04997, Pf04998, Pf05000	1044191	PP_0448	rpoC	"RNA polymerase; Pyrimidine metabolism; Purine metabolism; Metabolic pathways"				4	846762140.4	1164948054	1261420838	612134045.5	488056819.8	673080684.5	1075395298	1191432059	1195115469	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88Q71	Chaperone protein ClpB OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=clpB PE=3 SV=1	0	1290.552	86	101	6597	98	854	94.8	5.5	13509.91	101	"metabolic process;regulation of biological process;response to stimulus"	cytoplasm	"catalytic activity;nucleotide binding;protein binding"	Pf00004, Pf01695, Pf02861, Pf07724, Pf07728, Pf10431, Pf13191, Pf13401	1044444	PP_0625	clpB					0	661525617	955912917.2	894398509.9	849052068.2	784025806.1	1031451860	1262174763	1239700091	1576432533	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88KF1	Aconitate hydratase B OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=acnB PE=3 SV=1	0	1220.682	83	92	6698	92	869	93.6	5.33	12089.83	92	metabolic process	cytosol	"catalytic activity;metal ion binding"	Pf00330, Pf06434, Pf11791	1045338	PP_2339	acnB	"2-Oxocarboxylic acid metabolism; Biosynthesis of antibiotics; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; Metabolic pathways; Propanoate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon metabolism; Microbial metabolism in diverse environments; Citrate cycle (TCA cycle)"				10	1042638800	1665438840	1704790288	3878809996	2640774007	3006090745	1417071575	1527513650	1717629307	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88FS1	Isocitrate dehydrogenase [NADP] OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=idh PE=3 SV=1	0	1217.409	94	81	8333	81	741	79.9	5.68	17406.56	81	metabolic process		"catalytic activity;metal ion binding"	Pf03971	1046547	PP_4012	"PP_4012; idh"	"Citrate cycle (TCA cycle); Microbial metabolism in diverse environments; Glutathione metabolism; Biosynthesis of amino acids; Biosynthesis of antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Carbon metabolism"				9	2779826448	3596137484	3673464541	3011261727	2461735374	3556397596	4086003732	3873210331	5333539039	High	High	High	High	High	High	High	High	High	1	
